id_partL1,num_level,id_part,num_itemMatCost,num_itemCost,num_inv,num_poCost
100T8378G008,1,100T8378G008,301573.9943,0.0,242851.5061,279693.898
115T2726G0001,1,115T2726G0001,314637.4205,0.0,158357.0138,317583.8725
100T6851G009,1,100T6851G009,200182.0332,0.0,134335.4897,205125.3725
115T2706G0001,1,115T2706G0001,375068.5997,0.0,251696.035,401914.625
109T6339G0002,1,109T6339G0002,287246.8003,0.0,192761.7528,288683.03
147E3315G002,1,147E3315G002,163592.2396,0.0,164671.9484,197680.6682
118T2185G0002,1,118T2185G0002,287246.8003,0.0,144571.3146,0.0
146E1405G002,1,146E1405G002,22175.6654,0.0,11161.0124,31711.99789
101T2521G001,1,101T2521G001,5528.380999999999,0.0,4451.8946399999995,0.0
138E6290G002,1,138E6290G002,10465.93,0.0,8428.004079999999,10524.92
138E5387G004,1,138E5387G004,45797.0965,0.0,46099.3573,40253.6175
101T7265G002,1,101T7265G002,5491.3648,0.0,2763.80395,0.0
320B7487G004,1,320B7487G004,18990.5,0.0,19115.8373,1.0
101T9058G004,1,101T9058G004,11592.1,0.0,6667.775943,0.0
101T9058G003,1,101T9058G003,4636.84,0.0,2333.72155,46600.2
214D1400G003,1,214D1400G003,2753.77,0.0,2771.9449,0.0
149D2999G007,1,149D2999G007,2487.14,0.0,2145.2516,0.0
113T0596G0005,1,113T0596G0005,4467.7,0.0,2998.1245329999997,70279.72
113T0596G0003,1,113T0596G0003,4300.0,0.0,2885.586667,22687.875
107T5269G002,1,107T5269G002,4084.7,0.0,3289.3272,52498.74
238B7759G005,1,238B7759G005,919.0,0.0,616.7102667,0.0
SMO8400963,1,SMO8400963,7187.4268,0.0,3617.43195,0.0
119T4240G0002,1,119T4240G0002,17850.8473,0.0,8984.33145,0.0
144E7357G024,1,144E7357G024,11867.6811,0.0,6826.290171,0.0
137E2159G011,1,137E2159G011,113463.5958,0.0,114212.4555,0.0
137E2159G009,1,137E2159G009,147915.492,0.0,119113.3874,0.0
106T3531G0001,1,106T3531G0001,254779.3228,0.0,128230.4332,305848.6917
106T4174G0001,1,106T4174G0001,46320.7149,0.0,31084.2878,45314.22739
372A4840P215,1,372A4840P215,17821.0,0.0,11959.07907,0.0
377A7054P103,1,377A7054P103,4122.91,0.0,4143.5246,8851.534225
389A6686P213,1,389A6686P213,20626.0,0.0,11864.0752,21793.00375
117T9194P0001,1,117T9194P0001,29663.75,0.0,17062.589030000003,0.0
113T7559P024,1,113T7559P024,21638.0,0.0,12446.1776,0.0
117T0847G0001,1,117T0847G0001,40538.0,0.0,23317.4576,0.0
116T7883G0001,1,116T7883G0001,51647.0,0.0,29707.3544,0.0
113T9607G0001,1,113T9607G0001,66605.0,0.0,38311.196,0.0
111T4076P0001,1,111T4076P0001,1385.41,0.0,796.8878286,0.0
