id_baseReq,desc_frameFam,id_task,id_partL1,num_partCount,id_tparent,desc_projectState,id_req,id_frame,desc_status,num_stockInd,num_totLead,date_contractStart,date_issueFMI
CR3L,7/1FA,0726,241C2882G014,33,367A4979G011,Complete,CR3L,7FA.03,Active,0,52.57142857,2/12/2016,1/11/2017
CR3L,7/1FA,0726,241C2882G014,33,367A4979G011,Complete,CR3L,7FA.03,Active,0,52.57142857,2/12/2016,1/11/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6836G007,Complete,CR3L,7FA.03,Active,0,52.57142857,1/23/2014,4/1/2015
CR3L,7/1FA,0726,241C2882G014,33,367A6836G007,Complete,CR3L,7FA.03,Active,0,52.57142857,1/23/2014,4/1/2015
CR3L,7/1FA,0726,241C2882G014,33,367A6836G009,Complete,CR3L,7FA.03,Active,0,52.57142857,9/15/2014,3/31/2015
CR3L,7/1FA,0726,241C2882G014,33,367A6836G009,Complete,CR3L,7FA.03,Active,0,52.57142857,9/15/2014,3/31/2015
CR3L,7/1FA,0726,241C2882G014,33,367A5786G009,Complete,CR3L,7FA.04,Active,0,52.57142857,9/4/2014,3/23/2015
CR3L,7/1FA,0726,241C2882G014,33,367A5786G009,Complete,CR3L,7FA.04,Active,0,52.57142857,9/4/2014,3/23/2015
CR3L,7/1FA,0797,137E2531G003,1,367A6018G005,Complete,CR3L,7FA.03,Active,0,309.125,11/5/2015,10/19/2016
CR3L,7/1FA,0799,146E1405G002,9,367A6980G005,Complete,CR3L,7FA.01,Active,0,123.125,3/20/2014,3/10/2016
CR3L,7/1FA,0799,146E1405G002,9,367A6980G006,Complete,CR3L,7FA.01,Active,0,123.125,3/20/2014,3/9/2016
CR3L,7/1FA,0799,146E1405G002,9,367A4979G009,Complete,CR3L,7FA.03,Active,0,123.125,8/19/2015,12/22/2015
CR3L,7/1FA,0799,146E1405G002,9,367A4979G009,Complete,CR3L,7FA.03,Active,0,123.125,8/19/2015,12/22/2015
CR3L,7/1FA,0799,146E1405G002,9,367A4979G011,Complete,CR3L,7FA.03,Active,0,123.125,2/12/2016,1/11/2017
CR3L,7/1FA,0799,146E1405G002,9,367A4979G011,Complete,CR3L,7FA.03,Active,0,123.125,2/12/2016,1/11/2017
CR3L,7/1FA,0799,146E1405G002,9,367A4979G011,Complete,CR3L,7FA.03,Active,0,123.125,2/12/2016,1/11/2017
CR3L,7/1FA,0799,146E1405G002,9,367A6836G007,Complete,CR3L,7FA.03,Active,0,123.125,1/23/2014,4/1/2015
CR3L,7/1FA,0799,146E1405G002,9,367A6836G009,Complete,CR3L,7FA.03,Active,0,123.125,9/15/2014,3/31/2015
CR3L,7/1FA,0811,143E4458G005,1,367A6836G007,Complete,CR3L,7FA.03,Pre-Active,0,110.0,1/23/2014,4/1/2015
CR3L,7/1FA,0813,100T5950G003,4,367A7392G001,Complete,CR3L,7FA.04,Active,0,173.125,7/2/2013,8/4/2014
CR3L,7/1FA,0813,100T5950G003,4,367A7392G001,Complete,CR3L,7FA.04,Active,0,173.125,7/2/2013,8/4/2014
CR3L,7/1FA,0813,100T5950G003,4,367A7392G002,Complete,CR3L,7FA.04,Active,0,173.125,9/23/2013,8/4/2014
CR3L,7/1FA,0813,100T5950G003,4,367A7392G002,Complete,CR3L,7FA.04,Active,0,173.125,9/23/2013,8/4/2014
CR3L,7/1FA,0909,119T2483G0001,5,367A4979G009,Complete,CR3L,7FA.03,Active,0,56.0,8/19/2015,12/22/2015
CR3L,7/1FA,0909,119T2483G0001,5,367A4979G009,Complete,CR3L,7FA.03,Active,0,56.0,8/19/2015,12/22/2015
CR3L,7/1FA,0909,119T2483G0001,5,367A4979G011,Complete,CR3L,7FA.03,Active,0,56.0,2/12/2016,1/11/2017
CR3L,7/1FA,0909,119T2483G0001,5,367A4979G011,Complete,CR3L,7FA.03,Active,0,56.0,2/12/2016,1/11/2017
CR3L,7/1FA,0909,119T2483G0001,5,367A4979G011,Complete,CR3L,7FA.03,Active,0,56.0,2/12/2016,1/11/2017
CR3L,7/1FA,0953,103T4560G0001,2,367A7392G001,Complete,CR3L,7FA.04,Active,0,68.14285714,7/2/2013,8/4/2014
CR3L,7/1FA,0953,103T4560G0001,2,367A7392G002,Complete,CR3L,7FA.04,Active,0,68.14285714,9/23/2013,8/4/2014
CR3L,7/1FA,0953,137E2242G002,2,367A4979G009,Complete,CR3L,7FA.03,Active,0,59.57142857,8/19/2015,12/22/2015
CR3L,7/1FA,0953,137E2242G002,2,367A4979G009,Complete,CR3L,7FA.03,Active,0,59.57142857,8/19/2015,12/22/2015
CR3L,7/1FA,0964,114T7350G0001,1,367A5786G009,Complete,CR3L,7FA.04,Active,0,58.14285714,9/4/2014,3/23/2015
CR3L,7/1FA,1007,112L1362G0018,1,367A5786G009,Complete,CR3L,7FA.04,Active,0,68.14285714,9/4/2014,3/23/2015
CR3L,7/1FA,1022,108L4955G001,9,367A4979G009,Complete,CR3L,7FA.03,Active,0,75.94285714,8/19/2015,12/22/2015
CR3L,7/1FA,1022,108L4955G001,9,367A4979G009,Complete,CR3L,7FA.03,Active,0,75.94285714,8/19/2015,12/22/2015
CR3L,7/1FA,1022,108L4955G001,9,367A4979G011,Complete,CR3L,7FA.03,Active,0,75.94285714,2/12/2016,1/11/2017
CR3L,7/1FA,1022,108L4955G001,9,367A4979G011,Complete,CR3L,7FA.03,Active,0,75.94285714,2/12/2016,1/11/2017
CR3L,7/1FA,1022,108L4955G001,9,367A4979G011,Complete,CR3L,7FA.03,Active,0,75.94285714,2/12/2016,1/11/2017
CR3L,7/1FA,1022,108L4955G001,9,367A6836G007,Complete,CR3L,7FA.03,Active,0,75.94285714,1/23/2014,4/1/2015
CR3L,7/1FA,1022,108L4955G001,9,367A6836G007,Complete,CR3L,7FA.03,Active,0,75.94285714,1/23/2014,4/1/2015
